left_side,right_side,similairity
Testaccount541,Testaccount544,0.869748375
Testaccount541,Testaccount545,0.869748375
Testaccount541,Testaccount549,0.867692676
Testaccount541,Testaccount546,0.862172197
Testaccount541,Testaccount542,0.858160788
Testaccount541,Testaccount547,0.858160788
Testaccount541,Testaccount548,0.858160788
Nakul12,Nakul122,0.920466084
Anil11,Anil1122,0.818037348
Hero121,Hero121121,0.854780189
Rajeshpok,Rajeshpoker,0.909178751
Sattaking,Sattaking48,0.815614776
Zerohero,Zerohero6,0.920308359
Biglick69,Biglick,0.822865145
Super12,Super11,0.805296372
AviGupta1,AviGupta,0.93431259
Mohit24,Mohit244,0.889589553
Mudiram77,Mudiram,0.823116907
Kingkiruba195,Kingkiruba,0.832892408
Kalicharan1234,Kalicharan1,0.888170694
Gokuldossk,Gokuldoss,0.919537034
Kingkiruba,Kingkiruba195,0.832892408
Pankaj1995,Pankaj1999,0.870974192
Mudiram,Mudiram77,0.823116907
Ravi011,Ravi01,0.889479597
Sunilkumarak,Sunilkumar1,0.857064788
Gokuldoss,Gokuldossk,0.919537034
Rani5,Rani55,0.817674621
grajag1,grajag,0.820186519
grajag,grajag1,0.820186519
Rohitagarwal2703,Rohitagarwal273,0.845630212
Chakarborty,Chakarborty5,0.924857388
Chakarborty5,Chakarborty,0.924857388
Motiyan4,Motiyan,0.910506721
pagalcobra12,pagalcobra,0.927081613
Kuldeep1,Kuldeep123a,0.822278556
pagalcobra,pagalcobra12,0.927081613
Motiyan,Motiyan4,0.910506721
Pkmeena121,P.k.meena,0.817749195
P.k.meena,Pkmeena121,0.817749195
Kaleem786,Kaleem7834,0.809885179
Rk1111,Rk1110,0.831879251
Poker2405,Joker2405,0.857778714
testAccount439,testAccount431,0.886662487
testAccount439,testAccount432,0.885417291
testAccount439,testAccount433,0.878262496
testAccount439,testAccount435,0.878262496
testAccount439,testAccount436,0.875458084
testAccount439,testAccount434,0.871775023
testAccount439,testAccount438,0.871775023
testAccount439,testAccount437,0.866461374
Keshav152,Keshav1521998,0.800008129
AviGupta,AviGupta1,0.93431259
Vaja0191,Raja0191,0.802984333
Kalicharan1,Kalicharan1234,0.888170694
Kalicharan1,Kalicharan21,0.807052019
Joshua200j,Joshua200,0.902706558
Joshua200j,Joshua2005,0.836528367
Bala0191i,Bala0191,0.874753307
Joshua2005,Joshua200,0.926689143
Joshua2005,Joshua200j,0.836528367
Joshua200,Joshua2005,0.926689143
Joshua200,Joshua200j,0.902706558
Harsh9,Harsh98,0.844178072
Kingofqueenss,Kingofqueens,0.930417352
Raja0191,Raja01911,0.902514247
Raja0191,Vaja0191,0.802984333
testAccount438,testAccount431,0.882932289
testAccount438,testAccount432,0.881692332
testAccount438,testAccount433,0.874567637
testAccount438,testAccount435,0.874567637
testAccount438,testAccount436,0.871775023
testAccount438,testAccount439,0.871775023
testAccount438,testAccount434,0.868107457
testAccount438,testAccount437,0.862816163
testAccount437,testAccount431,0.877550634
testAccount437,testAccount432,0.876318235
testAccount437,testAccount433,0.869236967
testAccount437,testAccount435,0.869236967
testAccount437,testAccount436,0.866461374
testAccount437,testAccount439,0.866461374
testAccount437,testAccount434,0.862816163
testAccount437,testAccount438,0.862816163
testAccount436,testAccount431,0.886662487
testAccount436,testAccount432,0.885417291
testAccount436,testAccount433,0.878262496
testAccount436,testAccount435,0.878262496
testAccount436,testAccount439,0.875458084
testAccount436,testAccount434,0.871775023
testAccount436,testAccount438,0.871775023
testAccount436,testAccount437,0.866461374
