f_player_id,buyin,f_name,f_tournament_id,f_playing_time_limit,f_ticket_distribution,date
17217887,0.0000,"Daily Freeroll NLH",138786427,0,,"2020-09-01 15:29:55"
17233512,0.0000,"Daily Freeroll PLO",142959815,0,,"2020-10-27 16:59:55"
17248332,33.0000,"Satty Turbo Nightout",135337428,0,G,"2020-09-01 22:59:55"
17249808,0.0000,"Daily Mega Freeroll",135242258,0,,"2020-09-01 15:59:55"
17263676,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",135242250,3600,,"2020-09-01 13:59:55"
17332573,176.0000,"10 Tkt Satty Turbo Yorker",143047091,3300,G,"2020-10-27 21:29:55"
17365561,0.0000,"Daily Freeroll NLH",137048393,0,,"2020-09-13 10:59:55"
17370170,0.0000,"Daily Freeroll PLO",135573111,0,,"2020-09-03 16:59:55"
17378330,176.0000,"2 Tkt Satty Afternoon PKO (25 % Bounty)",138720555,900,G,"2020-09-24 16:29:55"
17387557,550.0000,"PPS #1 - PowerPlay PKO",137714744,0,,"2020-09-17 13:59:55"
17397466,880.0000,"Afternoon Turbo",135981562,0,,"2020-09-08 16:29:55"
17449959,0.0000,"Daily Freeroll PLO",135242256,0,,"2020-09-01 16:59:55"
17461245,220.0000,"Deepstack Turbo",136754372,0,,"2020-09-11 21:59:55"
17463975,770.0000,"StackUp Lite",138093817,0,,"2020-09-01 15:59:55"
17477082,550.0000,"Mini StackUp",134911203,0,,"2020-09-01 14:29:50"
17516514,880.0000,"SM #1 - Sunday Shootout PKO",135086996,0,,"2020-09-06 12:29:55"
17538199,165.0000,"10 Tkt Satty Half Rebuy Stackup",135242294,3300,G,"2020-09-01 17:59:55"
17564994,770.0000,"StackUp Lite",138093817,0,,"2020-09-01 15:29:55"
17589464,55.0000,"Time Crunch (15 min)",144609351,900,,"2020-11-07 15:39:55"
17606825,110.0000,"The Royal Battle",136754378,0,,"2020-09-11 17:59:55"
17613897,0.0000,"Daily Freeroll NLH",144721626,0,,"2020-11-09 17:59:55"
17681656,88.0000,"Work From Home",142383077,0,,"2020-10-22 15:29:55"
17695822,0.0000,"Daily Freeroll NLH",143542205,0,,"2020-10-31 10:59:55"
17696269,110.0000,"10 Tkt Satty Main Event Flight 1A",135729349,3300,G,"2020-09-04 17:29:55"
17715158,1100.0000,"ME 1E - SM #5 Main Event",136494679,0,G,"2020-09-13 17:59:55"
