user,amount,date
5a5215cfaa43a2001c0702da,350.0000,"2020-10-09 18:14:41.816909"
5a5225f8aa43a2001c0702e3,330.0000,"2020-10-10 16:23:04.163617"
5a5434d40ea066001c45bf28,100.0000,"2020-11-05 20:21:03.514750"
5a54a126aa43a2001c070359,2700.0000,"2020-09-07 00:33:52.038545"
5a54ddeeaa43a2001c07036b,1500.0000,"2020-10-07 14:35:03.631206"
5a558e8d0ea066001c45bfa1,810.0000,"2020-09-20 19:36:05.803539"
5a55ac1faa43a2001c0703ef,1360.5100,"2020-09-01 12:40:02.676968"
5a55d44b0ea066001c45c05f,26.0000,"2020-09-03 02:18:08.832165"
5a55d7b40ea066001c45c069,3000.0000,"2020-09-03 11:37:07.703289"
5a5791bdbb932c001dd0432b,850.0000,"2020-09-01 10:31:54.962698"
5a584167bb932c001dd0437e,200.0000,"2020-09-01 13:14:14.510404"
5a585832bb932c001dd043bf,100000.0000,"2020-09-04 15:58:18.468718"
5a5880fe625f32001c01a63c,2000.0000,"2020-09-12 20:33:03.910110"
5a58ad88625f32001c01a6e3,8000.0000,"2020-09-19 00:12:46.966734"
5a58b63b625f32001c01a715,90.0000,"2020-09-03 13:28:22.893357"
5a58bf5f625f32001c01a745,70000.0000,"2020-10-02 04:06:36.662265"
5a58c1fd625f32001c01a750,700.0000,"2020-09-26 10:02:32.488128"
5a5cb55f625f32001c01ab11,26.5200,"2020-09-06 22:16:11.763827"
5a602b88625f32001c01af01,10.0000,"2020-09-17 21:44:40.276143"
5a603d8105c13f001f0a1a42,1500.0000,"2020-09-01 01:08:44.862487"
5a6054ef5e6727001ca3e648,203.0000,"2020-09-05 22:47:17.383681"
5a60bf5a5e6727001ca3e6e9,300.0000,"2020-09-26 23:16:07.356035"
5a61e20405c13f001f0a1bbb,2479.0000,"2020-10-01 01:49:58.967730"
5a62d8ba5e6727001ca3e812,9358.0000,"2020-09-27 15:29:07.888723"
5a65f4245e6727001ca3e91d,1425.0300,"2020-09-01 12:16:11.159758"
