f_player_id,count,wins,date
11368237,2,0,2020-06-16
11368237,1,1,2020-06-25
11368237,7,2,2020-06-26
11368237,3,2,2020-06-30
11368237,2,2,2020-07-01
11368237,2,2,2020-07-03
11368237,3,1,2020-07-12
11368237,1,1,2020-07-13
11368237,1,1,2020-07-15
11368237,2,0,2020-07-17
11368237,1,0,2020-07-20
11368237,1,1,2020-07-23
11368237,1,0,2020-07-31
11368237,1,0,2020-09-02
11376255,1,0,2020-08-11
11376255,1,1,2020-08-18
11376255,1,0,2020-08-19
11377719,9,8,2020-07-30
11377719,4,4,2020-07-31
11377719,1,0,2020-08-01
11377719,1,1,2020-08-02
11377719,3,2,2020-08-04
11401240,2,1,2020-06-02
11403709,47,39,2020-08-03
11403709,3,2,2020-08-04
11403709,23,15,2020-08-05
11403709,30,21,2020-08-06
11403709,1,1,2020-08-07
11403709,5,5,2020-08-08
11403709,2,1,2020-08-11
11403709,45,26,2020-08-12
11403709,2,0,2020-08-13
11403709,28,16,2020-08-15
11403709,21,17,2020-08-16
11403709,2,1,2020-08-17
11403709,14,7,2020-08-18
11403709,10,8,2020-09-05
11403709,1,1,2020-09-27
11403709,1,1,2020-10-02
11403709,11,9,2020-10-03
11403709,1,1,2020-10-15
11403709,32,19,2020-11-01
11403709,22,17,2020-11-02
11403709,14,6,2020-11-10
11429109,1,0,2020-06-07
11436289,11,4,2020-07-04
11436289,4,0,2020-07-06
11436289,7,5,2020-07-07
11436289,3,0,2020-07-08
11436289,10,7,2020-07-09
11436289,16,5,2020-07-10
11436289,22,10,2020-07-11
11436289,3,1,2020-07-12
11436289,4,2,2020-07-14
11436289,8,4,2020-07-15
11436289,9,6,2020-07-17
11436289,1,0,2020-07-18
11436289,3,2,2020-07-19
11436289,4,0,2020-07-21
11436289,3,3,2020-10-08
11436289,20,7,2020-11-12
11436289,17,1,2020-11-13
11436289,2,1,2020-11-16
11436289,3,3,2020-11-25
11436289,2,2,2020-11-27
11436289,2,0,2020-11-29
11450973,1,0,2020-06-10
11450973,5,3,2020-06-11
11450973,1,1,2020-06-13
11450973,4,1,2020-06-14
11450973,7,5,2020-06-19
11450973,8,8,2020-06-20
11450973,7,7,2020-06-21
11450973,5,3,2020-06-24
11450973,1,1,2020-06-25
11450973,5,0,2020-06-26
11450973,3,2,2020-07-23
11455486,1,0,2020-08-06
11487234,1,0,2020-07-04
11496967,1,1,2020-08-29
11516223,1,1,2020-06-08
11516223,3,1,2020-06-30
11516223,16,9,2020-07-01
11516223,5,1,2020-07-02
11516223,1,1,2020-07-09
11516223,3,1,2020-08-02
11516223,1,0,2020-08-06
11516223,4,3,2020-08-10
11516223,5,2,2020-08-13
11516223,6,4,2020-08-23
11516223,4,3,2020-11-29
11517067,1,1,2020-08-07
11517067,1,1,2020-08-19
11517067,2,2,2020-09-17
11517067,1,1,2020-09-29
11591093,2,1,2020-08-19
11591093,14,8,2020-08-20
11603477,1,1,2020-06-16
11603477,2,2,2020-08-02
11649549,1,1,2020-06-28
11649549,6,4,2020-06-29
11675685,1,1,2020-06-11
11675685,2,1,2020-07-16
11675685,5,2,2020-08-14
11675685,1,0,2020-08-26
11675685,2,1,2020-09-18
11675685,2,2,2020-09-19
11675685,4,3,2020-10-03
11675685,3,2,2020-10-09
11675685,5,1,2020-10-15
11675685,2,2,2020-10-16
11675685,1,1,2020-10-30
11675685,1,1,2020-11-03
11695308,6,2,2020-06-01
11695308,12,10,2020-06-02
11695308,20,11,2020-06-03
11695308,11,7,2020-06-04
11695308,1,0,2020-06-08
11695308,1,1,2020-06-17
11695308,3,2,2020-06-20
11695308,2,1,2020-06-21
11695308,3,2,2020-06-22
11695308,7,5,2020-06-23
11695308,15,9,2020-06-24
11695308,9,3,2020-06-25
11695308,1,0,2020-06-26
11695308,5,3,2020-07-01
11695308,1,0,2020-07-02
11695308,3,1,2020-07-14
11695308,7,4,2020-07-23
11695308,8,6,2020-08-01
11695308,1,1,2020-09-20
11695308,3,2,2020-10-25
11695308,5,3,2020-10-26
11695308,2,1,2020-10-29
11704335,1,1,2020-08-07
11704335,1,1,2020-10-18
11704335,4,1,2020-10-20
11704335,14,10,2020-10-21
11704335,18,8,2020-10-22
11704335,2,1,2020-10-23
